Sn,Degree,Volt CH-1,Volt CH-2,Torque,Sync
532,36.8,2.594,1.296,0.209,2.002
533,36.6,2.586,1.292,0.212,2.002
534,36.4,2.577,1.287,0.212,2.002
535,36.2,2.567,1.282,0.212,2.002
536,36,2.558,1.278,0.206,2.002
537,35.8,2.549,1.273,0.207,2.002
538,35.6,2.541,1.269,0.205,2.002
539,35.4,2.53,1.263,0.209,2.003
540,35.2,2.522,1.259,0.211,2.003
541,35,2.511,1.254,0.207,2.002
542,34.8,2.503,1.249,0.211,2.004
543,34.6,2.495,1.245,0.21,2.004
544,34.4,2.484,1.24,0.208,2.003
545,34.2,2.477,1.236,0.205,2.004
546,34,2.467,1.231,0.203,2.004
547,33.8,2.459,1.227,0.203,2.004
548,33.6,2.448,1.222,0.207,2.003
549,33.4,2.439,1.218,0.207,2.002
550,33.2,2.427,1.213,0.205,2.001
551,33,2.418,1.209,0.207,2
552,32.8,2.409,1.204,0.205,2.001
553,32.6,2.398,1.198,0.204,2.002
554,32.4,2.39,1.194,0.202,2.002
555,32.2,2.38,1.189,0.201,2.002
556,32,2.371,1.185,0.199,2.001
557,31.8,2.36,1.179,0.201,2.002
558,31.6,2.352,1.175,0.2,2.002
559,31.4,2.342,1.17,0.2,2.002
560,31.2,2.333,1.165,0.204,2.003
561,31,2.325,1.161,0.201,2.003
562,30.8,2.315,1.156,0.198,2.003
563,30.6,2.307,1.151,0.197,2.004
564,30.4,2.297,1.147,0.196,2.003
565,30.2,2.29,1.143,0.194,2.003
566,30,2.28,1.138,0.197,2.004
567,29.8,2.273,1.134,0.194,2.004
568,29.6,2.263,1.129,0.194,2.004
569,29.4,2.255,1.125,0.196,2.004
570,29.2,2.247,1.121,0.195,2.004
571,29,2.237,1.116,0.193,2.004
572,28.8,2.228,1.112,0.191,2.004
573,28.6,2.218,1.107,0.191,2.004
574,28.4,2.21,1.104,0.189,2.002
575,28.2,2.2,1.099,0.187,2.002
576,28,2.191,1.094,0.192,2.003
577,27.8,2.18,1.089,0.189,2.002
578,27.6,2.171,1.084,0.187,2.003
