Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync
498,8.15,2.517,1.254,16.8,2.007
499,8.1,2.505,1.248,16.7,2.007
500,8.05,2.495,1.241,16.7,2.01
501,8,2.484,1.234,16.7,2.013
502,7.95,2.473,1.228,16.6,2.014
503,7.9,2.461,1.222,16.6,2.014
504,7.85,2.447,1.216,16.6,2.012
505,7.8,2.436,1.21,16.5,2.013
506,7.75,2.425,1.202,16.5,2.017
507,7.7,2.411,1.195,16.5,2.018
508,7.65,2.399,1.19,16.5,2.016
509,7.6,2.386,1.184,16.4,2.015
510,7.55,2.374,1.178,16.4,2.015
511,7.5,2.363,1.172,16.4,2.016
512,7.45,2.351,1.165,16.3,2.018
513,7.4,2.341,1.158,16.3,2.022
514,7.35,2.33,1.152,16.3,2.023
515,7.3,2.319,1.146,16.3,2.024
516,7.25,2.307,1.14,16.2,2.024
517,7.2,2.296,1.134,16.2,2.025
518,7.15,2.283,1.128,16.1,2.024
519,7.1,2.272,1.12,16.1,2.029
520,7.05,2.26,1.114,16.1,2.029
521,7,2.247,1.108,16.1,2.028
522,6.95,2.232,1.103,16.1,2.024
523,6.9,2.221,1.097,16.1,2.025
524,6.85,2.21,1.091,16,2.026
525,6.8,2.2,1.085,16,2.028
526,6.75,2.19,1.078,16,2.032
527,6.7,2.178,1.072,15.9,2.032
528,6.65,2.167,1.065,15.9,2.035
529,6.6,2.155,1.06,15.9,2.033
530,6.55,2.142,1.053,15.8,2.034
531,6.5,2.132,1.048,15.8,2.034
532,6.45,2.118,1.042,15.8,2.033
533,6.4,2.107,1.036,15.7,2.034
534,6.35,2.095,1.03,15.7,2.034
535,6.3,2.082,1.024,15.7,2.033
536,6.25,2.071,1.018,15.7,2.034
537,6.2,2.059,1.012,15.6,2.035
538,6.15,2.049,1.006,15.6,2.037
539,6.1,2.04,0.999,15.6,2.042
540,6.05,2.029,0.994,15.5,2.041
541,6,2.014,0.988,15.5,2.038
542,5.95,2.002,0.981,15.5,2.041
543,5.9,1.99,0.976,15.5,2.039
544,5.85,1.98,0.971,15.4,2.039
545,5.8,1.967,0.963,15.4,2.043
546,5.75,1.955,0.957,15.4,2.043
547,5.7,1.943,0.952,15.3,2.041
548,5.65,1.932,0.947,15.3,2.04
549,5.6,1.922,0.94,15.3,2.045
550,5.55,1.911,0.933,15.2,2.048
551,5.5,1.901,0.928,15.2,2.048
552,5.45,1.889,0.923,15.2,2.047
553,5.4,1.876,0.916,15.2,2.048
554,5.35,1.864,0.91,15.2,2.048
555,5.3,1.851,0.905,15.1,2.045
556,5.25,1.84,0.898,15.1,2.049
557,5.2,1.83,0.892,15,2.052
558,5.15,1.816,0.887,15,2.047
559,5.1,1.804,0.881,15,2.048
560,5.05,1.793,0.875,15,2.049
561,5,1.781,0.869,14.9,2.049
562,4.95,1.77,0.863,14.9,2.051
563,4.9,1.761,0.857,14.9,2.055
564,4.85,1.75,0.85,14.8,2.059
565,4.8,1.737,0.846,14.8,2.053
566,4.75,1.726,0.84,14.8,2.055
567,4.7,1.715,0.833,14.7,2.059
568,4.65,1.703,0.828,14.7,2.057
569,4.6,1.69,0.822,14.7,2.056
570,4.55,1.676,0.816,14.7,2.054
571,4.5,1.663,0.81,14.6,2.053
572,4.45,1.651,0.805,14.6,2.051
573,4.4,1.641,0.799,14.6,2.054
574,4.35,1.63,0.793,14.6,2.055
575,4.3,1.619,0.788,14.5,2.055
576,4.25,1.608,0.781,14.5,2.059
577,4.2,1.593,0.775,14.5,2.055
578,4.15,1.58,0.769,14.4,2.055
579,4.1,1.57,0.764,14.4,2.055
580,4.05,1.56,0.759,14.4,2.055
581,4,1.545,0.753,14.3,2.052
582,3.95,1.535,0.747,14.3,2.055
583,3.9,1.522,0.741,14.3,2.054
584,3.85,1.507,0.735,14.3,2.05
585,3.8,1.497,0.73,14.2,2.051
586,3.75,1.485,0.724,14.2,2.051
587,3.7,1.473,0.718,14.2,2.052
588,3.65,1.463,0.711,14.2,2.058
589,3.6,1.451,0.706,14.1,2.055
590,3.55,1.438,0.7,14.1,2.054
591,3.5,1.423,0.695,14.1,2.047
592,3.45,1.412,0.688,14,2.052
593,3.4,1.399,0.682,14,2.051
594,3.35,1.387,0.677,14,2.049
595,3.3,1.374,0.672,14,2.045
596,3.25,1.364,0.665,13.9,2.051
597,3.2,1.352,0.659,13.9,2.052
598,3.15,1.338,0.653,13.9,2.049
599,3.1,1.325,0.648,13.8,2.045
600,3.05,1.313,0.642,13.8,2.045
601,3,1.3,0.636,13.8,2.044
602,2.95,1.287,0.63,13.7,2.043
603,2.9,1.275,0.625,13.7,2.04
604,2.85,1.262,0.619,13.7,2.039
605,2.8,1.248,0.612,13.7,2.039
606,2.75,1.236,0.607,13.6,2.036
607,2.7,1.222,0.601,13.6,2.033
608,2.65,1.211,0.595,13.6,2.035
609,2.6,1.197,0.589,13.6,2.032
610,2.55,1.184,0.583,13.5,2.031
611,2.5,1.171,0.577,13.5,2.029
612,2.45,1.161,0.571,13.5,2.033
613,2.4,1.148,0.565,13.4,2.032
614,2.35,1.135,0.56,13.4,2.027
615,2.3,1.122,0.553,13.4,2.029
616,2.25,1.108,0.548,13.4,2.022
617,2.2,1.097,0.541,13.3,2.028
618,2.15,1.086,0.536,13.3,2.026
619,2.1,1.07,0.53,13.3,2.019
620,2.05,1.056,0.524,13.2,2.015
621,2,1.044,0.518,13.2,2.015
622,1.95,1.031,0.512,13.2,2.014
623,1.9,1.019,0.506,13.2,2.014
624,1.85,1.007,0.501,13.2,2.01
625,1.8,0.994,0.494,13.1,2.012
626,1.75,0.984,0.488,13.1,2.016
627,1.7,0.972,0.481,13.1,2.021
628,1.65,0.959,0.475,13,2.019
629,1.6,0.948,0.468,13,2.026
630,1.55,0.935,0.462,13,2.024
631,1.5,0.924,0.457,13,2.022
632,1.45,0.911,0.451,12.9,2.02
633,1.4,0.897,0.444,12.9,2.02
634,1.35,0.883,0.437,12.9,2.021
635,1.3,0.871,0.432,12.8,2.016
636,1.25,0.859,0.426,12.8,2.016
637,1.2,0.847,0.419,12.8,2.021
638,1.15,0.834,0.413,12.7,2.019
639,1.1,0.823,0.406,12.7,2.027
640,1.05,0.812,0.4,12.7,2.03
