Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync,,,,,,,,,,,,
296,59,3.565,1.783,0.322,1.999,,3.5640,1.7825,,,3.5640,1.78252,,,,,
297,59.2,3.572,1.787,0.321,1.999,,3.5740,1.7875,,,3.5740,1.78752,,,,,
298,59.4,3.579,1.791,0.324,1.998,,3.5810,1.7915,,,3.5810,1.79152,,,,,
299,59.6,3.588,1.795,0.327,1.999,,3.5880,1.7955,,,3.5880,1.79552,,,,,
300,59.8,3.599,1.801,0.324,1.998,,3.5970,1.7995,,,3.5970,1.79952,,,,,
301,60,3.609,1.806,0.329,1.998,,3.6080,1.8055,,,3.6080,1.80552,,,,,
302,60.2,3.618,1.81,0.327,1.999,,3.6180,1.8105,,,3.6180,1.81052,,,,,
303,60.4,3.629,1.815,0.326,1.999,,3.6270,1.8145,,,3.6270,1.81452,,,,,
304,60.6,3.637,1.82,0.327,1.998,,3.6380,1.8195,,,3.6380,1.81952,,,,,
305,60.8,3.646,1.824,0.327,1.999,,3.6460,1.8245,,,3.6460,1.82452,,,,,
306,61,3.654,1.828,0.328,1.999,,3.6550,1.8285,,,3.6550,1.82852,,,,,
307,61.2,3.662,1.832,0.331,1.999,,3.6630,1.8325,,,3.6630,1.83252,,,,,
308,61.4,3.675,1.838,0.333,1.999,,3.6710,1.8365,,,3.6710,1.83652,,,,,
309,61.6,3.682,1.842,0.333,1.999,,3.6840,1.8425,,,3.6840,1.84252,,,,,
310,61.8,3.691,1.847,0.336,1.998,,3.6910,1.8465,,,3.6910,1.84652,,,,,
311,62,3.699,1.85,0.333,1.999,,3.7000,1.8515,,,3.7000,1.85152,,,,,
312,62.2,3.708,1.856,0.333,1.998,,3.7080,1.8545,,,3.7080,1.85452,,,,,
313,62.4,3.716,1.86,0.339,1.998,,3.7170,1.8605,,,3.7170,1.86052,,,,,
314,62.6,3.728,1.866,0.335,1.998,,3.7250,1.8645,,,3.7250,1.86452,,,,,
315,62.8,3.736,1.87,0.333,1.998,,3.7370,1.8705,,,3.7370,1.87052,,,,,
316,63,3.745,1.874,0.337,1.998,,3.7450,1.8745,,,3.7450,1.87452,,,,,
317,63.2,3.752,1.878,0.34,1.998,,3.7540,1.8785,,,3.7540,1.87852,,,,,
318,63.4,3.76,1.882,0.336,1.998,,3.7610,1.8825,,,3.7610,1.88252,,,,,
319,63.6,3.77,1.887,0.342,1.998,,3.7690,1.8865,,,3.7690,1.88652,,,,,
320,63.8,3.777,1.89,0.34,1.998,,3.7790,1.8915,,,3.7790,1.89152,,,,,
321,64,3.788,1.896,0.34,1.998,,3.7860,1.8945,,,3.7860,1.89452,,,,,
322,64.2,3.797,1.9,0.343,1.998,,3.7970,1.9005,,,3.7970,1.90052,,,,,
323,64.4,3.807,1.905,0.34,1.998,,3.8060,1.9045,,,3.8060,1.90452,,,,,
324,64.6,3.815,1.909,0.337,1.998,,3.8160,1.9095,,,3.8160,1.90952,,,,,
325,64.8,3.821,1.913,0.343,1.997,,3.8240,1.9135,,,3.8240,1.91352,,,,,
326,65,3.832,1.918,0.346,1.998,,3.8300,1.9175,,,3.8300,1.91752,,,,,
327,65.2,3.84,1.922,0.343,1.998,,3.8410,1.9225,,,3.8410,1.92252,,,,,
328,65.4,3.849,1.926,0.352,1.998,,3.8490,1.9265,,,3.8490,1.92652,,,,,
329,65.6,3.857,1.93,0.348,1.998,,3.8580,1.9305,,,3.8580,1.93052,,,,,
330,65.8,3.866,1.935,0.347,1.998,,3.8660,1.9345,,,3.8660,1.93452,,,,,
331,66,3.874,1.939,0.352,1.998,,3.8750,1.9395,,,3.8750,1.93952,,,,,
332,66.2,3.884,1.944,0.348,1.998,,3.8830,1.9435,,,3.8830,1.94352,,,,,
333,66.4,3.893,1.949,0.346,1.997,,3.8930,1.9485,,,3.8930,1.94852,,,,,
