ErrDate,ErrTime,ErrNumber,Error,ErrLine,ErrPlace,Hint
20-01-2023,09:47:55 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:56 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:57 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:58 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:58 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:58 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:58 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:58 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:58 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
